1 | activity textiles |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity farming |   funded 3875 |  country BO |   journal_entries 0 | 
1 | activity retail |   funded 5000 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 3400 |  country BO |   journal_entries 0 | 
1 | activity retail |   funded 4350 |  country BO |   journal_entries 0 | 
1 | activity food production/sales |   funded 3600 |  country BO |   journal_entries 1 | 
1 | activity animal sales |   funded 400 |  country BO |   journal_entries 1 | 
1 | activity auto repair |   funded 1025 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 1175 |  country BO |   journal_entries 3 | 
1 | activity waste management |   funded 1175 |  country BO |   journal_entries 1 | 
1 | activity traveling sales |   funded 4775 |  country BO |   journal_entries 0 | 
1 | activity fruits & vegetables |   funded 3500 |  country BO |   journal_entries 1 | 
1 | activity textiles |   funded 4750 |  country BO |   journal_entries 0 | 
1 | activity used clothing |   funded 3525 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 4000 |  country BO |   journal_entries 1 | 
1 | activity personal housing expenses |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity beauty salon |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity hardware |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity shoe sales |   funded 250 |  country BO |   journal_entries 2 | 
1 | activity restaurant |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 1050 |  country BO |   journal_entries 2 | 
1 | activity utilities |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity auto repair |   funded 350 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity bookstore |   funded 250 |  country BO |   journal_entries 2 | 
1 | activity printing |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity transportation |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity personal purchases |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1950 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3425 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4250 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3550 |  country BO |   journal_entries 1 | 
1 | activity manufacturing |   funded 1025 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity traveling sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4175 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4875 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4000 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 4000 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1725 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 3600 |  country BO |   journal_entries 0 | 
1 | activity retail |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity personal housing expenses |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity traveling sales |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4300 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity personal housing expenses |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity clothing |   funded 350 |  country BO |   journal_entries 2 | 
1 | activity restaurant |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity bookbinding |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 550 |  country BO |   journal_entries 2 | 
1 | activity construction supplies |   funded 550 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity secretarial services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity cafe |   funded 575 |  country BO |   journal_entries 2 | 
